,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Date,Team
54,Dominik Szoboszlai,8.0,hu HUN,AM,23-332,60,0,0,0,0,1,0,0,0,51,0,0,1,0.0,0.0,0.0,1,0,40,45,88.9,1,36,0,1,1,2024-9-21,Liverpool
55,Curtis Jones,17.0,eng ENG,AM,23-235,30,0,0,0,0,1,0,0,0,24,2,0,1,0.1,0.1,0.0,0,0,19,19,100.0,1,20,1,2,2,2024-9-21,Liverpool
56,Alexis Mac Allister,10.0,ar ARG,DM,25-272,90,0,0,0,0,1,1,0,0,72,6,0,2,0.0,0.0,0.4,3,0,54,58,93.1,10,47,4,0,0,2024-9-21,Liverpool
57,Ryan Gravenberch,38.0,nl NED,DM,22-128,90,0,0,0,0,1,1,0,0,91,2,1,1,0.0,0.0,0.1,2,0,75,85,88.2,9,64,5,1,1,2024-9-21,Liverpool
58,Andrew Robertson,26.0,sct SCO,LB,30-194,90,0,0,0,0,1,0,0,0,76,2,0,0,0.1,0.1,0.2,2,0,62,70,88.6,2,53,4,1,1,2024-9-21,Liverpool
59,Virgil van Dijk,4.0,nl NED,CB,33-075,90,0,0,0,0,0,0,0,0,58,0,2,0,0.0,0.0,0.0,0,0,48,48,100.0,1,31,1,0,0,2024-9-21,Liverpool
60,Ibrahima Konaté,5.0,fr FRA,CB,25-119,90,0,1,0,0,0,0,1,0,123,0,0,3,0.0,0.0,0.1,3,1,96,110,87.3,2,84,1,0,0,2024-9-21,Liverpool
61,Trent Alexander-Arnold,66.0,eng ENG,RB,25-350,90,0,1,0,0,0,0,0,0,69,4,3,0,0.0,0.0,0.3,2,1,42,57,73.7,4,45,4,2,2,2024-9-21,Liverpool
62,Caoimhín Kelleher,62.0,ie IRL,GK,25-303,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,1,1,40,44,90.9,0,39,0,0,0,2024-9-21,Liverpool
63,14 Players,,,,,990,3,3,0,0,19,12,1,0,737,20,6,10,2.0,2.0,1.9,38,6,546,619,88.2,39,526,30,21,16,2024-9-21,Liverpool
64,Darwin Núñez,9.0,uy URU,FW,25-163,90,0,0,0,0,3,0,1,0,23,1,0,1,0.4,0.4,0.0,1,0,9,13,69.2,1,14,1,2,0,2024-12-4,Liverpool
65,Cody Gakpo,18.0,nl NED,LW,25-211,66,0,0,0,0,2,0,0,0,27,2,0,2,0.1,0.1,0.0,4,0,11,18,61.1,1,16,2,3,1,2024-12-4,Liverpool
66,Luis Díaz,7.0,co COL,LW,27-326,24,0,0,0,0,1,0,0,0,14,0,0,1,0.1,0.1,0.0,1,0,8,9,88.9,1,8,3,3,1,2024-12-4,Liverpool
67,Mohamed Salah,11.0,eg EGY,RW,32-172,90,2,1,0,0,4,2,0,0,47,1,0,0,0.7,0.7,0.4,6,1,21,31,67.7,2,38,2,1,1,2024-12-4,Liverpool
68,Curtis Jones,17.0,eng ENG,"AM,DM",23-309,90,1,0,0,0,3,2,0,0,69,2,0,0,0.5,0.5,0.0,2,1,56,60,93.3,5,55,1,2,2,2024-12-4,Liverpool
69,Alexis Mac Allister,10.0,ar ARG,DM,25-346,90,0,0,0,0,3,1,1,0,65,7,0,3,0.2,0.2,0.1,8,1,41,47,87.2,8,37,1,2,1,2024-12-4,Liverpool
70,Ryan Gravenberch,38.0,nl NED,DM,22-202,66,0,0,0,0,0,0,1,0,61,0,4,1,0.0,0.0,0.0,0,0,47,53,88.7,2,52,0,1,0,2024-12-4,Liverpool
71,Dominik Szoboszlai,8.0,hu HUN,AM,24-040,24,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,1,1,15,15,100.0,2,14,1,2,0,2024-12-4,Liverpool
72,Andrew Robertson,26.0,sct SCO,LB,30-268,90,0,0,0,0,0,0,0,0,86,2,0,0,0.0,0.0,0.1,2,0,68,77,88.3,7,58,2,0,0,2024-12-4,Liverpool
73,Virgil van Dijk,4.0,nl NED,CB,33-149,90,0,0,0,0,0,0,0,0,70,2,3,0,0.0,0.0,0.0,1,0,53,59,89.8,4,47,2,0,0,2024-12-4,Liverpool
74,Joe Gomez,2.0,eng ENG,CB,27-195,66,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,48,53,90.6,2,49,0,0,0,2024-12-4,Liverpool
75,Trent Alexander-Arnold,66.0,eng ENG,RB,26-058,24,0,2,0,0,0,0,1,0,20,0,1,1,0.0,0.0,0.6,4,2,14,18,77.8,4,12,1,0,0,2024-12-4,Liverpool
76,Jarell Quansah,78.0,eng ENG,"RB,CB",21-310,90,0,0,0,0,0,0,1,0,69,5,1,1,0.0,0.0,0.0,0,0,46,55,83.6,3,45,1,1,1,2024-12-4,Liverpool
77,Caoimhín Kelleher,62.0,ie IRL,GK,26-011,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,36,45,80.0,0,35,0,0,0,2024-12-4,Liverpool
78,14 Players,,,,,990,3,3,0,0,16,5,5,0,677,23,10,13,2.0,2.0,1.2,30,6,473,553,85.5,42,480,17,17,7,2024-12-4,Liverpool
79,Diogo Jota,20.0,pt POR,FW,27-306,90,1,0,0,0,3,1,0,0,38,1,1,0,0.8,0.8,0.0,0,0,16,26,61.5,0,16,2,0,0,2024-10-5,Liverpool
80,Cody Gakpo,18.0,nl NED,LW,25-151,90,0,1,0,0,2,0,1,0,60,3,3,1,0.1,0.1,0.4,7,1,38,48,79.2,6,40,3,3,2,2024-10-5,Liverpool
81,Mohamed Salah,11.0,eg EGY,RW,32-112,72,0,0,0,0,2,1,0,0,31,0,0,0,0.2,0.2,0.0,2,0,19,23,82.6,3,20,1,0,0,2024-10-5,Liverpool
82,Luis Díaz,7.0,co COL,RW,27-266,18,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,2,0,7,10,70.0,1,11,3,0,0,2024-10-5,Liverpool
83,Curtis Jones,17.0,eng ENG,"AM,DM",23-249,88,0,0,0,0,1,0,0,0,55,1,0,0,0.0,0.0,0.0,2,0,47,48,97.9,4,34,0,1,1,2024-10-5,Liverpool
84,Wataru Endo,3.0,jp JPN,DM,31-239,2,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,1,0,5,6,83.3,1,4,0,0,0,2024-10-5,Liverpool
85,Alexis Mac Allister,10.0,ar ARG,DM,25-286,45,0,0,0,0,0,0,1,0,26,1,0,2,0.0,0.0,0.0,3,0,19,23,82.6,3,12,1,0,0,2024-10-5,Liverpool
86,Dominik Szoboszlai,8.0,hu HUN,AM,23-346,45,0,0,0,0,2,1,0,0,33,0,1,0,0.0,0.0,0.0,1,0,25,32,78.1,3,19,2,2,2,2024-10-5,Liverpool
87,Ryan Gravenberch,38.0,nl NED,DM,22-142,90,0,0,0,0,1,0,0,0,88,0,2,0,0.1,0.1,0.2,2,0,73,79,92.4,7,53,1,1,1,2024-10-5,Liverpool
88,Kostas Tsimikas,21.0,gr GRE,LB,28-146,78,0,0,0,0,1,0,0,0,94,1,1,0,0.0,0.0,0.0,4,1,77,88,87.5,12,48,4,1,1,2024-10-5,Liverpool
89,Andrew Robertson,26.0,sct SCO,LB,30-208,12,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,8,13,61.5,1,6,2,0,0,2024-10-5,Liverpool
90,Virgil van Dijk,4.0,nl NED,CB,33-089,90,0,0,0,0,1,0,0,0,117,0,3,0,0.0,0.0,0.2,2,0,101,112,90.2,6,67,0,1,1,2024-10-5,Liverpool
91,Ibrahima Konaté,5.0,fr FRA,CB,25-133,90,0,0,0,0,0,0,0,0,68,4,0,0,0.0,0.0,0.0,0,0,58,60,96.7,1,40,0,0,0,2024-10-5,Liverpool
92,Trent Alexander-Arnold,66.0,eng ENG,RB,25-364,90,0,0,0,0,2,1,0,0,84,2,1,0,0.1,0.1,0.4,5,0,53,75,70.7,6,41,1,0,0,2024-10-5,Liverpool
93,Alisson,1.0,br BRA,GK,32-003,78,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,32,40,80.0,0,30,0,0,0,2024-10-5,Liverpool
94,Vitezslav Jaros,56.0,cz CZE,GK,23-074,12,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,7,0,0,0,2024-10-5,Liverpool
95,16 Players,,,,,990,1,1,0,0,16,4,2,0,778,13,13,4,1.4,1.4,1.4,31,2,584,691,84.5,54,448,20,9,8,2024-10-5,Liverpool
96,Diogo Jota,20.0,pt POR,FW,27-257,78,1,0,0,0,3,1,0,0,27,1,1,0,0.9,0.9,0.0,1,0,9,15,60.0,2,16,2,2,1,2024-8-17,Liverpool
97,Cody Gakpo,18.0,nl NED,FW,25-102,12,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,5,1,0,0,2024-8-17,Liverpool
98,Luis Díaz,7.0,co COL,LW,27-217,90,0,0,0,0,3,0,0,0,44,1,0,1,0.5,0.5,0.3,7,0,31,36,86.1,2,28,9,5,5,2024-8-17,Liverpool
99,Mohamed Salah,11.0,eg EGY,RW,32-063,90,1,1,0,0,4,3,0,0,44,0,0,0,0.7,0.7,0.5,3,1,25,34,73.5,1,26,2,2,0,2024-8-17,Liverpool
100,Dominik Szoboszlai,8.0,hu HUN,AM,23-297,90,0,0,0,0,3,0,0,0,59,1,0,1,0.2,0.2,0.4,4,0,44,50,88.0,6,33,4,1,1,2024-8-17,Liverpool
101,Alexis Mac Allister,10.0,ar ARG,DM,25-237,90,0,0,0,0,2,0,0,0,66,0,0,3,0.1,0.1,0.0,3,0,42,50,84.0,7,34,0,7,1,2024-8-17,Liverpool
102,Ryan Gravenberch,38.0,nl NED,DM,22-093,90,0,0,0,0,0,0,0,0,68,3,0,3,0.0,0.0,0.0,1,1,51,59,86.4,5,40,2,2,1,2024-8-17,Liverpool
103,Andrew Robertson,26.0,sct SCO,LB,30-159,78,0,0,0,0,0,0,0,0,87,1,1,0,0.0,0.0,0.2,2,0,61,79,77.2,3,38,1,1,0,2024-8-17,Liverpool
104,Kostas Tsimikas,21.0,gr GRE,LB,28-097,12,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,12,13,92.3,5,9,1,0,0,2024-8-17,Liverpool
105,Virgil van Dijk,4.0,nl NED,CB,33-040,90,0,0,0,0,0,0,0,0,89,0,1,0,0.0,0.0,0.0,1,1,81,86,94.2,2,54,0,0,0,2024-8-17,Liverpool
106,Jarell Quansah,78.0,eng ENG,CB,21-201,45,0,0,0,0,0,0,0,0,35,2,1,1,0.0,0.0,0.0,0,0,25,28,89.3,0,16,0,0,0,2024-8-17,Liverpool
107,Ibrahima Konaté,5.0,fr FRA,CB,25-084,45,0,0,0,0,0,0,0,0,35,0,1,1,0.0,0.0,0.0,0,0,28,30,93.3,0,22,0,1,1,2024-8-17,Liverpool
108,Trent Alexander-Arnold,66.0,eng ENG,RB,25-315,76,0,0,0,0,1,0,0,0,58,0,0,3,0.1,0.1,0.7,4,1,38,54,70.4,5,33,2,1,0,2024-8-17,Liverpool
109,Conor Bradley,84.0,nir NIR,RB,21-039,14,0,0,0,0,2,1,0,0,31,0,0,0,0.2,0.2,0.0,1,0,22,25,88.0,1,16,1,1,1,2024-8-17,Liverpool
110,Alisson,1.0,br BRA,GK,31-320,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,1,0,44,51,86.3,0,37,0,0,0,2024-8-17,Liverpool
111,15 Players,,,,,990,2,1,0,0,18,5,1,0,720,9,5,14,2.6,2.6,2.0,29,4,520,620,83.9,39,407,25,23,11,2024-8-17,Liverpool
112,Diogo Jota,20.0,pt POR,FW,27-272,75,0,0,0,0,1,0,0,0,25,0,1,1,0.0,0.0,0.0,0,0,7,11,63.6,1,14,1,5,0,2024-9-1,Liverpool
113,Darwin Núñez,9.0,uy URU,FW,25-069,15,0,0,0,0,1,0,0,0,10,1,0,0,0.1,0.1,0.0,1,0,5,6,83.3,1,4,0,2,1,2024-9-1,Liverpool
114,Luis Díaz,7.0,co COL,LW,27-232,65,2,0,0,0,2,2,0,0,29,1,0,3,0.6,0.6,0.0,1,1,10,17,58.8,0,19,2,4,1,2024-9-1,Liverpool
115,Cody Gakpo,18.0,nl NED,LW,25-117,25,0,0,0,0,2,0,0,0,9,2,0,0,0.3,0.3,0.0,0,0,3,4,75.0,0,4,0,0,0,2024-9-1,Liverpool
116,Mohamed Salah,11.0,eg EGY,RW,32-078,90,1,2,0,0,3,1,0,0,46,1,1,0,0.6,0.6,0.9,7,2,27,35,77.1,2,32,5,4,2,2024-9-1,Liverpool
117,Dominik Szoboszlai,8.0,hu HUN,AM,23-312,90,0,1,0,0,1,0,0,0,48,2,1,2,0.0,0.0,0.4,4,1,36,40,90.0,2,20,4,0,0,2024-9-1,Liverpool
118,Alexis Mac Allister,10.0,ar ARG,DM,25-252,90,0,0,0,0,0,0,0,0,59,6,0,1,0.0,0.0,0.1,3,1,42,49,85.7,7,20,1,0,0,2024-9-1,Liverpool
119,Ryan Gravenberch,38.0,nl NED,DM,22-108,90,0,0,0,0,0,0,0,0,57,2,4,1,0.0,0.0,0.0,1,1,37,44,84.1,4,29,3,3,1,2024-9-1,Liverpool
120,Andrew Robertson,26.0,sct SCO,LB,30-174,82,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,1,0,40,49,81.6,1,23,0,0,0,2024-9-1,Liverpool
121,Kostas Tsimikas,21.0,gr GRE,LB,28-112,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,3,0,0,0,2024-9-1,Liverpool
122,Virgil van Dijk,4.0,nl NED,CB,33-055,90,0,0,0,0,0,0,1,0,89,2,3,1,0.0,0.0,0.0,2,0,69,73,94.5,3,37,0,0,0,2024-9-1,Liverpool
