,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Date,Team
2789,João Pedro,9.0,br BRA,"RW,AM",22-362,20,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,10,1,1,1,2024-9-22,Brighton and Hove Albion
2790,Carlos Baleba,20.0,cm CMR,DM,20-263,61,0,0,0,0,1,0,1,0,35,3,2,2,0.0,0.0,0.0,2,0,20,24,83.3,3,15,1,1,1,2024-9-22,Brighton and Hove Albion
2791,Mats Wieffer,27.0,nl NED,"DM,CM",24-311,29,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,1,0,25,28,89.3,6,18,2,0,0,2024-9-22,Brighton and Hove Albion
2792,Jack Hinshelwood,41.0,eng ENG,"DM,CM",19-164,90,1,0,0,0,1,1,0,0,53,1,0,0,0.1,0.1,0.0,3,1,44,49,89.8,4,34,3,1,0,2024-9-22,Brighton and Hove Albion
2793,Pervis Estupiñán,30.0,ec ECU,LB,26-245,81,0,0,0,0,1,0,0,0,72,0,1,0,0.0,0.0,0.2,2,0,49,64,76.6,2,39,2,1,0,2024-9-22,Brighton and Hove Albion
2794,Evan Ferguson,28.0,ie IRL,LW,19-339,9,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-9-22,Brighton and Hove Albion
2795,Lewis Dunk,5.0,eng ENG,CB,32-306,90,0,0,0,0,0,0,1,0,109,0,1,0,0.0,0.0,0.0,2,0,99,108,91.7,19,73,2,0,0,2024-9-22,Brighton and Hove Albion
2796,Jan Paul van Hecke,29.0,nl NED,CB,24-106,90,0,1,0,0,0,0,0,0,99,0,1,0,0.0,0.0,0.1,1,0,88,99,88.9,16,69,5,0,0,2024-9-22,Brighton and Hove Albion
2797,Joël Veltman,34.0,nl NED,"RB,CB",32-251,90,0,0,0,0,0,0,0,0,65,3,1,2,0.0,0.0,0.0,1,0,39,56,69.6,3,26,0,0,0,2024-9-22,Brighton and Hove Albion
2798,Bart Verbruggen,1.0,nl NED,GK,22-035,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,34,36,94.4,0,29,0,0,0,2024-9-22,Brighton and Hove Albion
2799,15 Players,,,,,990,2,1,0,0,14,3,3,0,709,12,7,14,1.0,1.0,0.7,25,4,510,619,82.4,75,441,35,20,10,2024-9-22,Brighton and Hove Albion
2800,Danny Welbeck,18.0,eng ENG,FW,33-293,84,0,0,0,0,4,1,0,0,30,0,0,0,0.2,0.2,0.0,2,0,17,20,85.0,2,18,0,3,1,2024-9-14,Brighton and Hove Albion
2801,Evan Ferguson,28.0,ie IRL,FW,19-331,6,0,0,0,0,1,0,0,0,2,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,1,0,0,0,2024-9-14,Brighton and Hove Albion
2802,Georginio Rutter,14.0,fr FRA,FW,22-147,66,0,0,0,0,3,1,0,0,30,1,0,0,0.4,0.4,0.1,6,0,15,23,65.2,6,17,1,2,1,2024-9-14,Brighton and Hove Albion
2803,Julio Enciso,10.0,py PAR,FW,20-235,24,0,0,0,0,1,1,0,0,25,0,0,0,0.0,0.0,0.0,1,0,15,20,75.0,2,14,1,2,1,2024-9-14,Brighton and Hove Albion
2804,Kaoru Mitoma,22.0,jp JPN,LM,27-117,90,0,0,0,0,3,2,0,0,54,2,0,2,0.6,0.6,0.0,3,0,28,42,66.7,3,35,10,2,1,2024-9-14,Brighton and Hove Albion
2805,Yasin Ayari,26.0,se SWE,CM,20-344,90,0,0,0,0,2,0,0,0,63,4,1,0,0.1,0.1,0.0,5,0,35,46,76.1,5,33,5,5,1,2024-9-14,Brighton and Hove Albion
2806,Carlos Baleba,20.0,cm CMR,CM,20-255,90,0,0,0,0,4,1,0,0,63,3,2,0,0.2,0.2,0.1,5,0,44,48,91.7,8,29,2,6,4,2024-9-14,Brighton and Hove Albion
2807,Yankuba Minteh,17.0,gm GAM,RM,20-054,67,0,0,0,0,0,0,1,0,42,0,0,1,0.0,0.0,0.2,4,0,23,33,69.7,3,23,3,7,1,2024-9-14,Brighton and Hove Albion
2808,Simon Adingra,11.0,ci CIV,RM,22-257,23,0,0,0,0,1,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,7,13,53.8,0,9,1,1,0,2024-9-14,Brighton and Hove Albion
2809,Jack Hinshelwood,41.0,eng ENG,LB,19-156,67,0,0,0,0,0,0,1,0,68,4,0,0,0.0,0.0,0.0,1,0,47,63,74.6,4,19,1,0,0,2024-9-14,Brighton and Hove Albion
2810,Ferdi Kadioglu,24.0,tr TUR,LB,24-343,23,0,0,0,0,1,0,0,0,26,0,2,0,0.0,0.0,0.1,3,0,16,20,80.0,2,12,1,0,0,2024-9-14,Brighton and Hove Albion
2811,Lewis Dunk,5.0,eng ENG,CB,32-298,90,0,0,0,0,1,0,0,0,96,0,1,0,0.1,0.1,0.0,0,0,83,93,89.2,6,49,0,0,0,2024-9-14,Brighton and Hove Albion
2812,Jan Paul van Hecke,29.0,nl NED,CB,24-098,90,0,0,0,0,0,0,0,0,94,1,1,1,0.0,0.0,0.0,3,0,80,86,93.0,8,66,0,0,0,2024-9-14,Brighton and Hove Albion
2813,Joël Veltman,34.0,nl NED,RB,32-243,90,0,0,0,0,0,0,1,0,82,3,2,1,0.0,0.0,0.0,1,0,64,71,90.1,9,36,3,2,0,2024-9-14,Brighton and Hove Albion
2814,Bart Verbruggen,1.0,nl NED,GK,22-027,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,0,0,37,38,97.4,0,21,0,0,0,2024-9-14,Brighton and Hove Albion
2815,15 Players,,,,,990,0,0,0,0,21,6,4,0,729,19,9,5,1.8,1.8,0.6,34,0,512,617,83.0,58,382,28,30,10,2024-9-14,Brighton and Hove Albion
2816,João Pedro,9.0,br BRA,FW,23-070,79,0,1,0,0,2,1,0,0,28,0,1,0,0.4,0.4,0.1,1,1,12,20,60.0,1,17,4,2,1,2024-12-5,Brighton and Hove Albion
2817,Evan Ferguson,28.0,ie IRL,FW,20-047,11,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,5,6,83.3,0,0,0,0,0,2024-12-5,Brighton and Hove Albion
2818,Kaoru Mitoma,22.0,jp JPN,"AM,LW",27-199,90,0,0,0,0,1,0,0,0,36,0,1,1,0.0,0.0,0.2,2,0,25,31,80.6,4,26,5,1,1,2024-12-5,Brighton and Hove Albion
2819,Matt O'Riley,33.0,dk DEN,AM,24-014,80,0,0,0,0,1,0,0,0,45,1,3,0,0.1,0.1,0.4,3,0,28,35,80.0,3,21,1,2,1,2024-12-5,Brighton and Hove Albion
2820,Georginio Rutter,14.0,fr FRA,AM,22-229,10,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,1,0,2,3,66.7,0,4,1,1,0,2024-12-5,Brighton and Hove Albion
2821,Mats Wieffer,27.0,nl NED,"CM,DM",25-019,85,0,0,0,0,1,0,0,0,60,2,1,1,0.0,0.0,0.0,2,0,45,49,91.8,1,40,0,0,0,2024-12-5,Brighton and Hove Albion
2822,Brajan Gruda,8.0,de GER,DM,20-188,5,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,6,50.0,0,4,0,1,1,2024-12-5,Brighton and Hove Albion
2823,Carlos Baleba,20.0,cm CMR,"CM,DM",20-337,90,1,0,0,0,2,1,0,0,51,1,2,3,0.1,0.1,0.0,0,0,27,33,81.8,2,29,1,4,1,2024-12-5,Brighton and Hove Albion
2824,Pervis Estupiñán,30.0,ec ECU,"WB,LB",26-319,90,0,0,0,0,2,0,0,0,67,1,1,1,0.2,0.2,0.0,3,0,46,56,82.1,5,39,4,1,1,2024-12-5,Brighton and Hove Albion
2825,Simon Adingra,11.0,ci CIV,"WB,RW",22-339,79,0,0,0,0,2,1,0,0,43,1,1,2,0.3,0.3,0.0,2,0,25,30,83.3,1,32,3,6,3,2024-12-5,Brighton and Hove Albion
2826,Yankuba Minteh,17.0,gm GAM,RW,20-136,11,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,3,1,1,1,2024-12-5,Brighton and Hove Albion
2827,Igor,3.0,br BRA,CB,26-302,90,0,0,0,0,0,0,0,0,79,1,0,1,0.0,0.0,0.0,4,0,69,73,94.5,6,58,2,0,0,2024-12-5,Brighton and Hove Albion
2828,Lewis Dunk,5.0,eng ENG,CB,33-014,90,0,0,0,0,0,0,1,0,102,2,0,0,0.0,0.0,0.0,0,0,86,95,90.5,6,75,0,0,0,2024-12-5,Brighton and Hove Albion
2829,Jan Paul van Hecke,29.0,nl NED,CB,24-180,71,0,0,0,0,1,0,1,0,80,2,0,0,0.3,0.3,0.2,4,1,57,67,85.1,8,60,1,1,0,2024-12-5,Brighton and Hove Albion
2830,Tariq Lamptey,2.0,gh GHA,RB,24-066,19,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,1,9,2,1,1,2024-12-5,Brighton and Hove Albion
2831,Bart Verbruggen,1.0,nl NED,GK,22-109,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,26,30,86.7,0,24,0,0,0,2024-12-5,Brighton and Hove Albion
2832,16 Players,,,,,990,1,1,0,0,13,3,2,0,665,11,11,11,1.5,1.5,0.9,22,2,468,548,85.4,38,441,25,21,11,2024-12-5,Brighton and Hove Albion
2833,João Pedro,9.0,br BRA,"FW,CM",23-080,90,0,0,0,0,2,0,0,0,49,0,0,0,0.1,0.1,0.1,3,0,34,48,70.8,2,40,3,2,2,2024-12-15,Brighton and Hove Albion
2834,Kaoru Mitoma,22.0,jp JPN,"LW,WB",27-209,90,0,0,0,0,3,1,0,0,50,2,0,0,0.2,0.2,0.2,8,0,32,38,84.2,3,31,6,9,5,2024-12-15,Brighton and Hove Albion
2835,Yankuba Minteh,17.0,gm GAM,"RW,WB",20-146,71,0,0,0,0,0,0,0,0,22,3,0,1,0.0,0.0,0.0,1,0,10,14,71.4,0,10,1,4,2,2024-12-15,Brighton and Hove Albion
2836,Simon Adingra,11.0,ci CIV,RW,22-349,19,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,0,5,0,0,0,2024-12-15,Brighton and Hove Albion
2837,Georginio Rutter,14.0,fr FRA,"AM,FW",22-239,71,0,0,0,0,1,0,0,0,23,3,0,1,0.0,0.0,0.0,2,0,8,12,66.7,2,8,1,1,0,2024-12-15,Brighton and Hove Albion
2838,Evan Ferguson,28.0,ie IRL,FW,20-057,19,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,5,5,100.0,0,4,0,0,0,2024-12-15,Brighton and Hove Albion
2839,Yasin Ayari,26.0,se SWE,"DM,CM",21-070,71,0,0,0,0,1,0,0,0,47,3,0,1,0.1,0.1,0.2,2,0,33,42,78.6,1,21,2,0,0,2024-12-15,Brighton and Hove Albion
2840,Brajan Gruda,8.0,de GER,DM,20-198,19,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,7,12,58.3,1,10,0,1,1,2024-12-15,Brighton and Hove Albion
2841,Carlos Baleba,20.0,cm CMR,"DM,CM",20-347,87,0,0,0,0,2,0,0,0,56,3,3,1,0.0,0.0,0.0,2,0,36,39,92.3,1,37,3,6,3,2024-12-15,Brighton and Hove Albion
2842,Mats Wieffer,27.0,nl NED,DM,25-029,3,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,1,0,13,13,100.0,2,8,0,0,0,2024-12-15,Brighton and Hove Albion
2843,Pervis Estupiñán,30.0,ec ECU,"LB,CB",26-329,90,0,0,0,0,1,0,0,0,98,2,0,0,0.0,0.0,0.1,2,0,82,89,92.1,9,59,5,1,0,2024-12-15,Brighton and Hove Albion
2844,Lewis Dunk,5.0,eng ENG,CB,33-024,90,0,0,0,0,2,1,1,0,119,1,0,3,0.2,0.2,0.0,2,0,104,110,94.5,5,74,0,0,0,2024-12-15,Brighton and Hove Albion
2845,Jan Paul van Hecke,29.0,nl NED,"CB,RB",24-190,90,0,0,0,0,0,0,0,0,104,3,1,1,0.0,0.0,0.1,2,0,84,93,90.3,14,66,4,0,0,2024-12-15,Brighton and Hove Albion
2846,Tariq Lamptey,2.0,gh GHA,RB,24-076,45,0,0,0,0,1,0,0,0,30,1,1,1,0.1,0.1,0.0,0,0,17,21,81.0,1,16,0,3,0,2024-12-15,Brighton and Hove Albion
2847,Julio Enciso,10.0,py PAR,"AM,CM",20-327,45,0,0,0,0,3,3,0,0,38,0,0,0,0.2,0.2,0.0,2,0,27,34,79.4,2,26,4,3,3,2024-12-15,Brighton and Hove Albion
2848,Bart Verbruggen,1.0,nl NED,GK,22-119,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,29,35,82.9,0,20,0,0,0,2024-12-15,Brighton and Hove Albion
2849,16 Players,,,,,990,0,0,0,0,17,5,1,0,715,22,5,9,1.0,1.0,0.9,30,0,528,613,86.1,43,435,29,30,16,2024-12-15,Brighton and Hove Albion
2850,Danny Welbeck,18.0,eng ENG,FW,33-328,81,1,0,0,0,2,2,0,0,33,1,1,1,0.4,0.4,0.0,1,1,20,25,80.0,2,20,0,0,0,2024-10-19,Brighton and Hove Albion
2851,Jan Paul van Hecke,29.0,nl NED,CB,24-133,9,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,1,0,4,5,80.0,0,3,0,0,0,2024-10-19,Brighton and Hove Albion
2852,Evan Ferguson,28.0,ie IRL,FW,20-000,59,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,0,0,9,16,56.3,0,11,0,0,0,2024-10-19,Brighton and Hove Albion
2853,Kaoru Mitoma,22.0,jp JPN,LM,27-152,31,0,0,0,0,2,1,0,0,24,2,0,0,0.2,0.2,0.0,3,0,13,18,72.2,2,9,1,1,0,2024-10-19,Brighton and Hove Albion
2854,Yasin Ayari,26.0,se SWE,"LM,FW",21-013,81,0,0,0,0,0,0,1,0,48,3,1,2,0.0,0.0,0.1,2,0,23,31,74.2,3,23,1,4,2,2024-10-19,Brighton and Hove Albion
2855,Julio Enciso,10.0,py PAR,FW,20-270,9,0,0,0,0,1,1,0,0,11,0,0,1,0.0,0.0,0.1,1,0,4,7,57.1,1,4,1,2,1,2024-10-19,Brighton and Hove Albion
2856,Jack Hinshelwood,41.0,eng ENG,CM,19-191,90,0,0,0,0,1,0,1,0,61,2,1,1,0.0,0.0,0.0,4,0,40,46,87.0,2,24,0,3,0,2024-10-19,Brighton and Hove Albion
2857,Carlos Baleba,20.0,cm CMR,CM,20-290,71,0,0,0,0,0,0,0,0,49,2,1,3,0.0,0.0,0.0,1,0,33,37,89.2,2,28,1,0,0,2024-10-19,Brighton and Hove Albion
2858,Mats Wieffer,27.0,nl NED,CM,24-338,19,0,0,0,0,1,1,0,0,9,2,0,1,0.1,0.1,0.0,0,0,2,4,50.0,1,2,0,0,0,2024-10-19,Brighton and Hove Albion
2859,Georginio Rutter,14.0,fr FRA,RM,22-182,71,0,1,0,0,0,0,0,0,29,6,1,0,0.0,0.0,0.4,3,1,10,11,90.9,3,12,1,3,0,2024-10-19,Brighton and Hove Albion
2860,Pervis Estupiñán,30.0,ec ECU,LB,26-272,19,0,0,0,0,0,0,0,0,12,1,1,0,0.0,0.0,0.0,1,0,8,9,88.9,0,5,0,0,0,2024-10-19,Brighton and Hove Albion
2861,Ferdi Kadioglu,24.0,tr TUR,"LB,RM",25-012,90,0,0,0,0,1,0,0,0,55,2,3,0,0.2,0.2,0.0,1,0,33,38,86.8,1,29,0,2,0,2024-10-19,Brighton and Hove Albion
2862,Igor,3.0,br BRA,CB,26-255,90,0,0,0,0,1,0,0,0,49,0,0,2,0.0,0.0,0.0,0,0,30,36,83.3,0,23,1,1,0,2024-10-19,Brighton and Hove Albion
2863,Lewis Dunk,5.0,eng ENG,CB,32-333,90,0,0,0,0,1,0,0,0,42,2,0,2,0.1,0.1,0.0,0,0,27,30,90.0,1,19,1,0,0,2024-10-19,Brighton and Hove Albion
2864,Joël Veltman,34.0,nl NED,RB,32-278,90,0,0,0,0,0,0,0,0,44,2,0,1,0.0,0.0,0.1,1,0,21,32,65.6,1,19,1,3,0,2024-10-19,Brighton and Hove Albion
2865,Bart Verbruggen,1.0,nl NED,GK,22-062,90,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,0,0,36,54,66.7,0,36,0,0,0,2024-10-19,Brighton and Hove Albion
2866,16 Players,,,,,990,1,1,0,0,10,5,2,0,559,26,9,16,1.1,1.1,0.7,19,2,313,399,78.4,19,267,8,19,3,2024-10-19,Brighton and Hove Albion
2867,Danny Welbeck,18.0,eng ENG,FW,33-349,90,0,0,0,0,2,0,0,0,30,2,0,1,0.3,0.3,0.0,3,1,17,21,81.0,0,15,1,1,0,2024-11-9,Brighton and Hove Albion
2868,Georginio Rutter,14.0,fr FRA,FW,22-203,65,0,0,0,0,1,0,0,0,20,1,0,1,0.2,0.2,0.0,0,0,11,13,84.6,2,10,1,0,0,2024-11-9,Brighton and Hove Albion
2869,Brajan Gruda,8.0,de GER,RM,20-162,25,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,7,9,77.8,0,7,3,1,1,2024-11-9,Brighton and Hove Albion
2870,Kaoru Mitoma,22.0,jp JPN,LM,27-173,89,0,0,0,0,1,1,0,0,44,1,2,3,0.2,0.2,0.3,4,1,21,31,67.7,2,25,2,3,0,2024-11-9,Brighton and Hove Albion
2871,Jakub Moder,15.0,pl POL,LM,25-216,1,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,2024-11-9,Brighton and Hove Albion
2872,Yasin Ayari,26.0,se SWE,CM,21-034,45,0,0,0,0,0,0,1,0,28,1,0,1,0.0,0.0,0.0,0,0,19,23,82.6,2,17,0,1,0,2024-11-9,Brighton and Hove Albion
2873,Carlos Baleba,20.0,cm CMR,CM,20-311,45,0,0,0,0,1,0,0,0,30,3,1,1,0.1,0.1,0.2,1,0,18,19,94.7,2,14,0,2,1,2024-11-9,Brighton and Hove Albion
2874,Jack Hinshelwood,41.0,eng ENG,CM,19-212,56,0,0,0,0,1,1,0,0,34,1,0,2,0.3,0.3,0.0,0,0,26,28,92.9,1,18,0,0,0,2024-11-9,Brighton and Hove Albion
2875,Matt O'Riley,33.0,dk DEN,CM,23-354,34,1,0,0,0,1,1,0,0,12,1,1,0,0.5,0.5,0.0,2,0,7,9,77.8,0,6,0,0,0,2024-11-9,Brighton and Hove Albion
2876,Simon Adingra,11.0,ci CIV,RM,22-313,64,0,0,0,0,0,0,0,0,18,2,1,0,0.0,0.0,0.0,0,0,9,9,100.0,2,11,0,1,0,2024-11-9,Brighton and Hove Albion
2877,João Pedro,9.0,br BRA,FW,23-044,26,1,1,0,0,2,1,0,0,22,0,2,0,0.5,0.5,0.5,1,1,10,16,62.5,2,13,1,0,0,2024-11-9,Brighton and Hove Albion
2878,Pervis Estupiñán,30.0,ec ECU,LB,26-293,90,0,0,0,0,1,0,0,0,56,4,2,0,0.1,0.1,0.5,2,0,38,45,84.4,3,29,1,0,0,2024-11-9,Brighton and Hove Albion
2879,Igor,3.0,br BRA,CB,26-276,90,0,0,0,0,0,0,1,0,87,0,1,0,0.0,0.0,0.0,1,0,73,79,92.4,0,61,0,0,0,2024-11-9,Brighton and Hove Albion
2880,Jan Paul van Hecke,29.0,nl NED,CB,24-154,90,0,0,0,0,0,0,1,0,84,0,1,4,0.0,0.0,0.3,3,1,72,75,96.0,5,65,0,0,0,2024-11-9,Brighton and Hove Albion
2881,Joël Veltman,34.0,nl NED,RB,32-299,90,0,0,0,0,0,0,0,0,51,0,1,1,0.0,0.0,0.0,0,0,35,42,83.3,2,35,1,2,0,2024-11-9,Brighton and Hove Albion
2882,Bart Verbruggen,1.0,nl NED,GK,22-083,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,25,30,83.3,0,20,0,0,0,2024-11-9,Brighton and Hove Albion
2883,16 Players,,,,,990,2,1,0,0,10,4,3,0,568,16,12,14,2.3,2.3,1.9,18,4,390,453,86.1,23,347,10,11,2,2024-11-9,Brighton and Hove Albion
2884,Dominic Solanke,19.0,eng ENG,FW,27-043,90,0,0,0,0,1,0,0,0,36,1,0,1,0.0,0.0,0.0,2,0,12,22,54.5,5,20,2,6,2,2024-10-27,Tottenham Hotspur
2885,Mikey Moore,47.0,eng ENG,LW,17-077,61,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,5,0,11,15,73.3,3,18,2,4,0,2024-10-27,Tottenham Hotspur
2886,Timo Werner,16.0,de GER,LM,28-235,29,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,0,0,8,13,61.5,4,12,2,0,0,2024-10-27,Tottenham Hotspur
2887,Brennan Johnson,22.0,wls WAL,"RW,RM",23-157,90,0,0,0,0,3,0,1,0,28,3,0,0,0.3,0.3,0.1,2,0,11,22,50.0,3,16,2,1,1,2024-10-27,Tottenham Hotspur
2888,James Maddison,10.0,eng ENG,LM,27-339,61,0,0,0,0,2,2,0,0,46,2,0,1,0.1,0.1,0.1,1,0,29,37,78.4,8,30,0,2,1,2024-10-27,Tottenham Hotspur
2889,Richarlison,9.0,br BRA,FW,27-170,29,0,0,0,0,0,0,1,0,12,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,7,0,1,0,2024-10-27,Tottenham Hotspur
2890,Yves Bissouma,8.0,ml MLI,CM,28-058,86,0,0,0,0,0,0,0,0,59,1,2,2,0.0,0.0,0.0,1,0,36,43,83.7,4,31,0,5,1,2024-10-27,Tottenham Hotspur
2891,Rodrigo Bentancur,30.0,uy URU,CM,27-124,4,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,15,16,93.8,1,14,0,0,0,2024-10-27,Tottenham Hotspur
2892,Dejan Kulusevski,21.0,se SWE,RM,24-185,61,0,0,0,0,1,1,1,0,28,0,1,1,0.1,0.1,0.0,1,0,17,24,70.8,2,18,4,1,1,2024-10-27,Tottenham Hotspur
2893,Pape Matar Sarr,29.0,sn SEN,CM,22-043,29,0,0,0,0,0,0,0,0,37,1,1,0,0.0,0.0,0.0,0,0,31,35,88.6,6,29,2,1,0,2024-10-27,Tottenham Hotspur
2894,Destiny Udogie,13.0,it ITA,LB,21-334,90,0,0,0,0,0,0,0,0,80,1,1,2,0.0,0.0,0.1,2,0,51,62,82.3,8,50,3,5,2,2024-10-27,Tottenham Hotspur
2895,Micky van de Ven,37.0,nl NED,CB,23-191,90,0,0,0,0,1,0,1,0,85,1,2,0,0.1,0.1,0.0,1,0,64,75,85.3,1,55,0,1,1,2024-10-27,Tottenham Hotspur
2896,Cristian Romero,17.0,ar ARG,CB,26-183,90,0,0,0,0,1,0,0,0,93,6,2,1,0.1,0.1,0.1,2,0,67,77,87.0,2,51,0,1,0,2024-10-27,Tottenham Hotspur
2897,Pedro Porro,23.0,es ESP,RB,25-044,90,0,0,0,0,1,0,0,0,86,2,0,0,0.0,0.0,0.0,2,0,50,81,61.7,6,45,3,0,0,2024-10-27,Tottenham Hotspur
2898,Guglielmo Vicario,1.0,it ITA,GK,28-020,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,38,42,90.5,0,32,0,0,0,2024-10-27,Tottenham Hotspur
2899,15 Players,,,,,990,0,0,0,0,11,3,4,0,690,19,10,9,0.7,0.7,0.4,20,0,445,571,77.9,55,428,20,28,9,2024-10-27,Tottenham Hotspur
2900,Dominic Solanke,19.0,eng ENG,FW,27-070,90,0,1,0,0,1,1,0,0,22,0,0,0,0.1,0.1,0.4,2,1,9,12,75.0,1,15,2,3,0,2024-11-23,Tottenham Hotspur
2901,Son Heung-min,7.0,kr KOR,LW,32-138,62,0,1,0,0,1,1,0,0,48,0,0,0,0.0,0.0,0.2,2,1,31,42,73.8,4,34,5,1,0,2024-11-23,Tottenham Hotspur
2902,Brennan Johnson,22.0,wls WAL,"LW,RW",23-184,28,1,0,0,0,2,1,0,0,10,1,0,0,1.1,1.1,0.0,1,0,3,3,100.0,0,6,0,1,1,2024-11-23,Tottenham Hotspur
2903,Dejan Kulusevski,21.0,se SWE,"RW,RM",24-212,90,0,1,0,0,1,1,0,0,29,1,0,0,0.1,0.1,0.8,5,2,17,24,70.8,4,24,4,4,4,2024-11-23,Tottenham Hotspur
2904,James Maddison,10.0,eng ENG,LM,28-000,89,2,0,0,0,2,2,0,0,58,2,1,1,0.8,0.8,0.0,2,1,42,48,87.5,1,44,3,2,2,2024-11-23,Tottenham Hotspur
2905,Timo Werner,16.0,de GER,"LW,LM",28-262,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,1,1,1,1,100.0,0,1,1,0,0,2024-11-23,Tottenham Hotspur
2906,Yves Bissouma,8.0,ml MLI,CM,28-085,90,0,0,0,0,1,0,1,0,56,2,2,0,0.0,0.0,0.0,1,0,43,47,91.5,0,35,1,2,0,2024-11-23,Tottenham Hotspur
2907,Pape Matar Sarr,29.0,sn SEN,RM,22-070,89,0,0,0,0,0,0,1,0,39,3,1,3,0.0,0.0,0.0,1,0,26,31,83.9,1,23,0,0,0,2024-11-23,Tottenham Hotspur
2908,Lucas Bergvall,15.0,se SWE,"LM,RM",18-295,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,2024-11-23,Tottenham Hotspur
2909,Destiny Udogie,13.0,it ITA,LB,21-361,89,0,0,0,0,0,0,0,0,55,3,0,1,0.0,0.0,0.0,1,0,36,45,80.0,3,31,3,1,0,2024-11-23,Tottenham Hotspur
2910,Djed Spence,24.0,eng ENG,LB,24-106,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,2024-11-23,Tottenham Hotspur
2911,Ben Davies,33.0,wls WAL,CB,31-213,90,0,0,0,0,0,0,0,0,75,0,0,1,0.0,0.0,0.0,0,0,54,66,81.8,2,46,0,0,0,2024-11-23,Tottenham Hotspur
2912,Radu Drăgușin,6.0,ro ROU,CB,22-294,90,0,0,0,0,0,0,0,0,43,1,1,3,0.0,0.0,0.0,1,1,30,36,83.3,1,27,0,0,0,2024-11-23,Tottenham Hotspur
2913,Pedro Porro,23.0,es ESP,RB,25-071,90,1,0,0,0,1,1,0,0,49,0,0,3,0.3,0.3,0.0,0,0,27,37,73.0,2,25,2,2,1,2024-11-23,Tottenham Hotspur
2914,Guglielmo Vicario,1.0,it ITA,GK,28-047,90,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,0,0,51,58,87.9,0,42,0,0,0,2024-11-23,Tottenham Hotspur
2915,15 Players,,,,,990,4,4,0,0,9,7,2,0,550,13,5,12,2.5,2.5,2.5,17,7,373,453,82.3,19,356,21,16,8,2024-11-23,Tottenham Hotspur
2916,Dominic Solanke,19.0,eng ENG,FW,27-022,90,0,1,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.5,3,2,14,17,82.4,4,12,2,1,1,2024-10-6,Tottenham Hotspur
2917,Timo Werner,16.0,de GER,LW,28-214,78,0,1,0,0,2,0,0,0,37,0,1,2,0.1,0.1,0.1,1,1,18,28,64.3,6,28,8,4,3,2024-10-6,Tottenham Hotspur
