,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Referee,Sh,SoT,Dist,FK,PK,PKatt,Team,Opp,Hour,Day,GF_rolling,GA_rolling,xG_rolling,xGA_rolling,Poss_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling
29,2024-12-07,15:00,1,1,1.0,0.0,16,2.3,0.3,47.0,4,18.0,4.0,14.2,0.0,0,0,1,16,15,5,1.6666666666666667,2.0,2.1999999999999997,1.2666666666666668,51.333333333333336,15.0,5.333333333333333,14.433333333333332,0.0,0.3333333333333333,0.6666666666666666
30,2024-12-14,17:30,0,0,1.0,2.0,15,0.4,1.7,50.0,16,8.0,2.0,15.6,0.0,0,0,1,15,17,5,1.3333333333333333,1.3333333333333333,1.9666666666666666,0.9333333333333332,44.0,15.666666666666666,5.333333333333333,14.200000000000001,0.0,0.3333333333333333,0.3333333333333333
31,2024-12-21,12:30,1,1,2.0,1.0,12,1.6,1.0,44.0,13,11.0,6.0,13.9,0.0,0,0,1,12,12,5,1.6666666666666667,1.0,1.7,0.9666666666666667,48.666666666666664,15.0,5.0,14.933333333333332,0.0,0.3333333333333333,0.3333333333333333
32,2024-12-26,15:00,0,0,0.0,3.0,14,0.3,2.7,38.0,1,4.0,1.0,17.0,1.0,0,0,1,14,15,3,1.3333333333333333,1.0,1.4333333333333333,1.0,47.0,12.333333333333334,4.0,14.566666666666668,0.0,0.0,0.0
33,2024-08-25,14:00,1,0,1.0,1.0,14,2.2,1.6,39.0,6,16.0,4.0,16.5,1.0,0,0,2,14,14,6,1.0,1.0,1.2,1.3,47.0,13.0,4.0,19.6,1.0,0.0,0.0
34,2024-08-31,15:00,0,1,3.0,2.0,7,2.4,1.8,53.0,18,17.0,7.0,14.9,0.0,0,0,2,7,15,5,1.0,1.0,1.7000000000000002,1.4500000000000002,43.0,14.5,4.0,18.05,1.0,0.0,0.0
35,2024-09-14,20:00,1,0,0.0,1.0,5,1.7,0.8,34.0,1,18.0,6.0,22.4,0.0,0,1,2,5,20,5,1.6666666666666667,1.3333333333333333,1.9333333333333336,1.5666666666666667,46.333333333333336,15.333333333333334,5.0,17.0,0.6666666666666666,0.0,0.0
36,2024-09-21,15:00,0,0,0.0,3.0,11,1.1,2.0,42.0,21,19.0,6.0,18.7,1.0,0,0,2,11,15,5,1.3333333333333333,1.3333333333333333,2.1,1.4000000000000001,42.0,17.0,5.666666666666667,17.933333333333334,0.3333333333333333,0.0,0.3333333333333333
37,2024-09-30,20:00,1,1,3.0,1.0,16,1.3,0.6,40.0,11,14.0,6.0,18.8,0.0,0,0,2,16,20,0,1.0,2.0,1.7333333333333334,1.5333333333333332,43.0,18.0,6.333333333333333,18.666666666666668,0.3333333333333333,0.0,0.3333333333333333
38,2024-10-05,15:00,0,0,0.0,1.0,10,2.1,0.8,55.0,4,19.0,2.0,14.3,0.0,0,0,2,10,15,5,1.0,1.6666666666666667,1.3666666666666665,1.1333333333333333,38.666666666666664,17.0,6.0,19.966666666666665,0.3333333333333333,0.0,0.3333333333333333
39,2024-10-19,17:30,1,1,2.0,0.0,0,1.8,0.7,49.0,14,12.0,3.0,18.9,0.0,1,1,2,0,17,5,1.0,1.6666666666666667,1.5,1.133333333333333,45.666666666666664,17.333333333333332,4.666666666666667,17.266666666666666,0.3333333333333333,0.0,0.0
40,2024-10-26,15:00,0,0,1.0,1.0,1,0.3,1.8,43.0,2,10.0,3.0,21.6,0.0,0,0,2,1,15,5,1.6666666666666667,0.6666666666666666,1.7333333333333334,0.6999999999999998,48.0,15.0,3.6666666666666665,17.333333333333332,0.0,0.3333333333333333,0.3333333333333333
41,2024-11-02,15:00,1,1,2.0,1.0,12,2.0,1.6,36.0,11,12.0,6.0,16.0,0.0,0,0,2,12,15,5,1.0,0.6666666666666666,1.4000000000000001,1.0999999999999999,49.0,13.666666666666666,2.6666666666666665,18.266666666666666,0.0,0.3333333333333333,0.3333333333333333
42,2024-11-09,15:00,0,0,2.0,3.0,3,2.6,1.5,49.0,4,15.0,3.0,14.8,1.0,0,0,2,3,15,5,1.6666666666666667,0.6666666666666666,1.3666666666666665,1.3666666666666665,42.666666666666664,11.333333333333334,4.0,18.833333333333332,0.0,0.3333333333333333,0.3333333333333333
43,2024-11-23,15:00,1,0,1.0,2.0,4,1.6,0.9,55.0,18,19.0,5.0,15.5,0.0,0,0,2,4,15,5,1.6666666666666667,1.6666666666666667,1.6333333333333335,1.6333333333333335,42.666666666666664,12.333333333333334,4.0,17.466666666666665,0.3333333333333333,0.0,0.0
44,2024-11-30,15:00,0,1,4.0,2.0,19,3.3,0.5,40.0,13,9.0,5.0,21.4,0.0,3,3,2,19,15,5,1.6666666666666667,2.0,2.066666666666667,1.3333333333333333,46.666666666666664,15.333333333333334,4.666666666666667,15.433333333333332,0.3333333333333333,0.0,0.0
45,2024-12-05,20:15,1,1,1.0,0.0,17,3.5,0.9,35.0,17,21.0,8.0,13.8,0.0,0,0,2,17,20,3,2.3333333333333335,2.3333333333333335,2.5,0.9666666666666667,48.0,14.333333333333334,4.333333333333333,17.233333333333334,0.3333333333333333,1.0,1.0
46,2024-12-08,14:00,0,1,2.0,1.0,9,3.2,1.3,56.0,12,22.0,6.0,16.4,0.0,0,0,2,9,14,6,2.0,1.3333333333333333,2.8000000000000003,0.7666666666666666,43.333333333333336,16.333333333333332,6.0,16.900000000000002,0.0,1.0,1.0
47,2024-12-16,20:00,1,0,1.0,1.0,18,1.9,2.1,52.0,2,29.0,9.0,18.3,1.0,0,0,2,18,20,0,2.3333333333333335,1.0,3.3333333333333335,0.9,43.666666666666664,17.333333333333332,6.333333333333333,17.2,0.0,1.0,1.0
48,2024-12-22,14:00,0,1,3.0,0.0,13,1.6,2.2,40.0,3,9.0,4.0,19.7,0.0,1,1,2,13,14,6,1.3333333333333333,0.6666666666666666,2.8666666666666667,1.4333333333333336,47.666666666666664,24.0,7.666666666666667,16.166666666666668,0.3333333333333333,0.0,0.0
49,2024-12-26,15:00,1,0,0.0,0.0,6,1.4,0.4,52.0,19,18.0,3.0,14.2,1.0,0,0,2,6,15,3,2.0,0.6666666666666666,2.233333333333333,1.8666666666666665,49.333333333333336,20.0,6.333333333333333,18.133333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333
50,2024-08-25,16:30,0,0,0.0,2.0,11,0.5,2.5,38.0,18,8.0,2.0,18.1,0.0,0,0,3,11,16,6,2.0,1.0,1.6,1.2,46.0,9.0,5.0,12.5,0.0,0.0,0.0
51,2024-08-31,15:00,1,1,3.0,1.0,16,2.8,1.5,37.0,9,20.0,7.0,14.5,0.0,0,0,3,16,15,5,1.0,1.5,1.05,1.85,42.0,8.5,3.5,15.3,0.0,0.0,0.0
52,2024-09-14,15:00,0,0,1.0,2.0,12,1.0,2.1,46.0,4,8.0,5.0,12.9,0.0,0,0,3,12,15,5,1.6666666666666667,1.3333333333333333,1.6333333333333335,1.7333333333333334,40.333333333333336,12.333333333333334,4.666666666666667,15.033333333333333,0.0,0.0,0.0
53,2024-09-21,15:00,0,0,1.0,3.0,17,0.8,3.5,52.0,8,6.0,6.0,14.4,0.0,0,0,3,17,15,5,1.3333333333333333,1.6666666666666667,1.4333333333333333,2.033333333333333,40.333333333333336,12.0,4.666666666666667,15.166666666666666,0.0,0.0,0.0
54,2024-09-28,15:00,1,0,1.0,1.0,18,0.4,1.0,57.0,17,8.0,3.0,20.7,1.0,0,0,3,18,15,5,1.6666666666666667,2.0,1.5333333333333332,2.3666666666666667,45.0,11.333333333333334,6.0,13.933333333333332,0.0,0.0,0.0
55,2024-10-05,15:00,1,1,5.0,3.0,19,4.2,1.0,44.0,0,18.0,11.0,13.0,1.0,1,1,3,19,15,5,1.0,2.0,0.7333333333333334,2.1999999999999997,51.666666666666664,7.333333333333333,4.666666666666667,16.0,0.3333333333333333,0.0,0.0
